datasets\buildings\image\3463.png datasets\buildings\label2_gray\3463.png datasets\buildings\edge\3463.png
datasets\buildings\image\181.png datasets\buildings\label2_gray\181.png datasets\buildings\edge\181.png
datasets\buildings\image\69.png datasets\buildings\label2_gray\69.png datasets\buildings\edge\69.png
datasets\buildings\image\1432.png datasets\buildings\label2_gray\1432.png datasets\buildings\edge\1432.png
datasets\buildings\image\4208.png datasets\buildings\label2_gray\4208.png datasets\buildings\edge\4208.png
datasets\buildings\image\2958.png datasets\buildings\label2_gray\2958.png datasets\buildings\edge\2958.png
datasets\buildings\image\317.png datasets\buildings\label2_gray\317.png datasets\buildings\edge\317.png
datasets\buildings\image\2871.png datasets\buildings\label2_gray\2871.png datasets\buildings\edge\2871.png
datasets\buildings\image\3474.png datasets\buildings\label2_gray\3474.png datasets\buildings\edge\3474.png
datasets\buildings\image\1646.png datasets\buildings\label2_gray\1646.png datasets\buildings\edge\1646.png
datasets\buildings\image\499.png datasets\buildings\label2_gray\499.png datasets\buildings\edge\499.png
datasets\buildings\image\5289.png datasets\buildings\label2_gray\5289.png datasets\buildings\edge\5289.png
datasets\buildings\image\2387.png datasets\buildings\label2_gray\2387.png datasets\buildings\edge\2387.png
datasets\buildings\image\5242.png datasets\buildings\label2_gray\5242.png datasets\buildings\edge\5242.png
datasets\buildings\image\2357.png datasets\buildings\label2_gray\2357.png datasets\buildings\edge\2357.png
datasets\buildings\image\4183.png datasets\buildings\label2_gray\4183.png datasets\buildings\edge\4183.png
datasets\buildings\image\5858.png datasets\buildings\label2_gray\5858.png datasets\buildings\edge\5858.png
datasets\buildings\image\244.png datasets\buildings\label2_gray\244.png datasets\buildings\edge\244.png
datasets\buildings\image\3103.png datasets\buildings\label2_gray\3103.png datasets\buildings\edge\3103.png
datasets\buildings\image\658.png datasets\buildings\label2_gray\658.png datasets\buildings\edge\658.png
datasets\buildings\image\2400.png datasets\buildings\label2_gray\2400.png datasets\buildings\edge\2400.png
