datasets\waterDataSet\imgAug\499.jpeg datasets\waterDataSet\labelAug\499.png datasets\waterDataSet\edge\499.png
datasets\waterDataSet\imgAug\4930.jpeg datasets\waterDataSet\labelAug\4930.png datasets\waterDataSet\edge\4930.png
datasets\waterDataSet\imgAug\714.jpeg datasets\waterDataSet\labelAug\714.png datasets\waterDataSet\edge\714.png
datasets\waterDataSet\imgAug\5110.jpeg datasets\waterDataSet\labelAug\5110.png datasets\waterDataSet\edge\5110.png
datasets\waterDataSet\imgAug\3423.jpeg datasets\waterDataSet\labelAug\3423.png datasets\waterDataSet\edge\3423.png
datasets\waterDataSet\imgAug\4228.jpeg datasets\waterDataSet\labelAug\4228.png datasets\waterDataSet\edge\4228.png
datasets\waterDataSet\imgAug\1090.jpeg datasets\waterDataSet\labelAug\1090.png datasets\waterDataSet\edge\1090.png
datasets\waterDataSet\imgAug\1125.jpeg datasets\waterDataSet\labelAug\1125.png datasets\waterDataSet\edge\1125.png
datasets\waterDataSet\imgAug\5029.jpeg datasets\waterDataSet\labelAug\5029.png datasets\waterDataSet\edge\5029.png
datasets\waterDataSet\imgAug\4015.jpeg datasets\waterDataSet\labelAug\4015.png datasets\waterDataSet\edge\4015.png
datasets\waterDataSet\imgAug\3245.jpeg datasets\waterDataSet\labelAug\3245.png datasets\waterDataSet\edge\3245.png
datasets\waterDataSet\imgAug\284.jpeg datasets\waterDataSet\labelAug\284.png datasets\waterDataSet\edge\284.png
datasets\waterDataSet\imgAug\3575.jpeg datasets\waterDataSet\labelAug\3575.png datasets\waterDataSet\edge\3575.png
datasets\waterDataSet\imgAug\3470.jpeg datasets\waterDataSet\labelAug\3470.png datasets\waterDataSet\edge\3470.png
datasets\waterDataSet\imgAug\4904.jpeg datasets\waterDataSet\labelAug\4904.png datasets\waterDataSet\edge\4904.png
datasets\waterDataSet\imgAug\4521.jpeg datasets\waterDataSet\labelAug\4521.png datasets\waterDataSet\edge\4521.png
datasets\waterDataSet\imgAug\772.jpeg datasets\waterDataSet\labelAug\772.png datasets\waterDataSet\edge\772.png
datasets\waterDataSet\imgAug\175.jpeg datasets\waterDataSet\labelAug\175.png datasets\waterDataSet\edge\175.png
datasets\waterDataSet\imgAug\2929.jpeg datasets\waterDataSet\labelAug\2929.png datasets\waterDataSet\edge\2929.png
datasets\waterDataSet\imgAug\4645.jpeg datasets\waterDataSet\labelAug\4645.png datasets\waterDataSet\edge\4645.png
datasets\waterDataSet\imgAug\1800.jpeg datasets\waterDataSet\labelAug\1800.png datasets\waterDataSet\edge\1800.png
datasets\waterDataSet\imgAug\1812.jpeg datasets\waterDataSet\labelAug\1812.png datasets\waterDataSet\edge\1812.png
datasets\waterDataSet\imgAug\1091.jpeg datasets\waterDataSet\labelAug\1091.png datasets\waterDataSet\edge\1091.png
datasets\waterDataSet\imgAug\3706.jpeg datasets\waterDataSet\labelAug\3706.png datasets\waterDataSet\edge\3706.png
datasets\waterDataSet\imgAug\5105.jpeg datasets\waterDataSet\labelAug\5105.png datasets\waterDataSet\edge\5105.png
datasets\waterDataSet\imgAug\3518.jpeg datasets\waterDataSet\labelAug\3518.png datasets\waterDataSet\edge\3518.png
